"Dmel","Species","Total","Retroelements","LINEs","SINEs","Penelope","LTR","DNA_transposons","Pao","Copia","Gypsy","SpeciesName"
3.95,"Dtei",16.81,14.75,5.18,0,0,9.57,2.02,0.17,0.19,3.46,"D.teissieri"
0.92,"Dtes",14.89,7.88,4.25,0,0,3.64,5.72,0.04,0,0.71,"D.testacea"
0.23,"Dtric",5.91,2.74,1.05,0,0,1.69,3.04,0.13,0.01,0.24,"D.trichaetosa"
1.18,"Dtrip",14.43,6.66,1.86,0,0,4.8,7.24,0,0.11,1.58,"D.tripunctata"
2.33,"Dtri",27.81,18.81,7.07,0,0,11.74,8.56,0.34,0.16,4.73,"D.triauraria"
1.43,"Dtris",18.1,13.72,5.28,0,0,8.44,3.99,0.06,0.11,4.14,"D.tristis"
4.57,"Dtro",31.54,28.3,8.94,0,0,19.36,3.14,0.61,0.6,9.83,"D.tropicalis"
1.37,"Dust",21.28,18.73,10.62,0,0,8.1,2.16,0,0.07,3.15,"D.ustulata"
4.91,"Dval",26.01,23.43,11.21,0,0,12.21,2.3,0.02,0.01,3.2,"D.vallismaia"
1.97,"Dvar",17.2,13.19,4.74,0,0,8.45,3.31,0.8,0.34,2.31,"D.varians"
0.19,"Dvil",4.72,0.97,0.71,0,0,0.26,3.69,0,0.04,0.08,"D.villosipedis"
2.89,"Dvir",17.93,11.97,3.31,0,0,8.66,4.83,0.09,0.01,2.96,"D.virilis"
4.49,"Dwil",36.27,31.85,8.29,0,0,23.56,4.2,0.75,0.56,9.16,"D.willistoni"
4.56,"Dyak",18.3,16.89,4.81,0,0,12.08,1.35,0.06,0.7,5.26,"D.yakuba"
0.24,"Dyoo",5.14,2.02,0.79,0,0,1.22,3.07,0,0.17,0.39,"D.yooni"
1.02,"Hcam",25.18,7.36,2.5,0,0,4.86,16.7,0,0.02,1.32,"H.cameraria"
2.48,"Hcon",28.5,21.47,13.2,0,0,8.26,6.65,0.06,0.1,3.17,"H.confusa"
1.28,"Hdun",20.58,8.38,6.29,0,0,2.09,11.24,0.01,0,0.85,"H.duncani"
1.08,"Hhis",23.21,15.44,7.88,0,0,7.56,7.28,0.06,0.01,1.27,"H.histrioides"
1.87,"Htri",11.74,8.93,6.1,0,0,2.83,2.59,0.07,0.1,1.52,"H.trivittata"
0.99,"Lcla",55.54,28.29,9.81,0,0,18.48,25.16,0.23,0.98,4.37,"L.clarofinis"
0.73,"Scyr",14.38,10.29,6.07,0,0,4.22,3.94,0.02,0.29,0.59,"S.cyrtandrae"
0.62,"Sgra",12.68,6.41,1.59,0,0,4.82,6.06,0,0.78,1.34,"S.graminum"
3.68,"Shsu",42.11,31.4,12.11,0,0,19.29,8.26,0.26,0.15,7.87,"S.hsui"
2.56,"Slat",13.21,10.56,1.85,0,0,8.71,2.41,0.1,0.14,3.84,"S.latifasciaeformis"
2.1,"Sleb",29.21,23.54,11.24,0,0,12.3,5.46,0.1,0.4,5.37,"S.lebanonensis"
2.84,"Smon",39.35,25.79,10.63,0,0,15.16,13.13,0.11,0.2,8.13,"S.montana"
2.06,"Spal",35.32,24.38,9.63,0,0,14.75,10.09,0.03,0.5,4.89,"S.pallida"
0.72,"Spar",11.55,4.56,1.65,0,0,2.91,6.84,0.04,0.19,1.23,"S.parva"
2.19,"Spol",32.9,27.94,16.03,0,0,11.91,4.72,0.17,0.28,4.24,"S.polygonia"
0.32,"Stum",10.34,5.23,3.91,0,0,1.31,4.94,0,0.11,0.44,"S.tumidula"
2.32,"Zafr",16,8.88,2.11,0,0,6.77,6.85,0,0.05,2.15,"Z.africanus"
0.98,"Zbog",15.33,6.46,2.01,0,0,4.45,8.71,0.15,0.42,1.27,"Z.bogoriensis"
1.82,"Zcam",18.23,12.54,4.21,0,0,8.33,5.34,0.03,0.18,2.82,"Z.camerounensis"
2.52,"Zcap",19.25,13.03,3.04,0,0,9.98,5.87,0,0.36,2.98,"Z.capensis"
1.94,"Zdav",12.96,5.89,1.61,0,0,4.28,6.71,0.02,0.04,1.35,"Z.davidi"
0.83,"Zfla",7.36,3.11,2.05,0,0,1.06,3.99,0,0,0.51,"Z.flavofinira"
2.37,"Zgab",29.39,24.74,16.52,0,0,8.22,4.56,0.06,0.68,2.88,"Z.gabonicus"
3.67,"Zghe",31.52,26.34,18.64,0,0,7.7,5.04,0.07,0.13,2.96,"Z.ghesquierei"
2.81,"Zind",31.24,13.35,3.74,0,0,9.61,3.66,0.07,0.44,4.86,"Z.indianus"
2.3,"Zine",15.54,10.85,4.16,0,0,6.69,4.36,0.01,0.08,1.26,"Z.inermis"
3.92,"Zkol",27.43,21.77,9.66,0,0,12.12,5.55,0.09,0.47,5.12,"Z.kolodkinae"
0.9,"Zlac",9.83,5.04,1.22,0,0,3.81,4.5,0.03,0.23,1.55,"Z.lachaisei"
2.81,"Znig",19.2,12.7,3.33,0,0,9.36,6.34,0.13,0.19,4.12,"Z.nigranus"
4.07,"Zorn",30.55,19.4,8.55,0,0,10.85,9.61,0.09,0.26,4.55,"Z.ornatus"
2.08,"Ztar",16.12,9.21,1.7,0,0,7.51,6.56,0.03,0.38,2.86,"Z.taronus"
3.51,"Ztsa",22.22,14.4,5.32,0,0,9.08,7.58,0.02,0.35,4.06,"Z.tsacasi"
3.12,"Ztub",22.05,13.7,3.39,0,0,10.31,8.25,0,0.22,3.64,"Z.tuberculatus"
1.67,"Zvit",14.98,8.12,1.94,0,0,6.18,6.48,0.01,0.13,2.49,"Z.vittiger"
