D.sechellia,D.ercepeae,gypsy6
D.bocqueti,D.merina,gypsy6
D.ezoana,D.ustulata,gypsy6
D.melanogaster,D.bocqueti,gypsy6
D.serrata,D.kikkawai,gypsy6
D.paulistorum,D.buzzatii,gypsy6
D.cardini,S.graminum,gypsy6
D.quinaria,D.colorata,gypsy6
H.duncani,D.macrospina,gypsy6
D.acutilabella,D.eohydei,gypsy6
D.borealis,D.acutilabella,gypsy6
D.tripunctata,D.innubila,gypsy6
D.sucinea,D.eohydei,gypsy6
D.biarmipes,D.pseudoananassae,gypsy6
D.innubila,D.tripunctata,gypsy6
D.pseudoananassae,D.biarmipes,gypsy6
Z.tuberculatus,D.sechellia,gypsy7
D.sechellia,Z.tuberculatus,gypsy7
D.hamatofila,S.flava,HMS-Beagle2
D.anceps,D.neocordata,HMS-Beagle2
D.rufa,D.atripex,HMS-Beagle2
Z.africanus,Z.ornatus,HMS-Beagle2
D.phalerata,D.borborema,HMS-Beagle2
D.buzzatii,D.borealis,HMS-Beagle2
Z.kolodkinae,Z.tsacasi,HMS-Beagle2
D.melanogaster,D.silvestris,HMS-Beagle2
D.lacicola,D.jambulina,HMS-Beagle2
D.pseudoananassae,D.anceps,HMS-Beagle2
D.falleni,D.putrida,HMS-Beagle2
Z.gabonicus,Z.indianus,HMS-Beagle2
D.maculinotata,D.monieri,HMS-Beagle2
D.kuntzei,D.atripex,HMS-Beagle2
D.triauraria,D.gunungcola,HMS-Beagle2
D.gunungcola,D.bunnanda,HMS-Beagle2
D.elegans,D.rhopaloa,HMS-Beagle2
D.nasuta,D.kohkoa,HMS-Beagle2
D.jambulina,S.polygonia,HMS-Beagle2
Z.inermis,Z.camerounensis,HMS-Beagle2
D.suzukii,D.biarmipes,HMS-Beagle2
D.subpulchrella,D.lowei,HMS-Beagle2
D.neocordata,D.anceps,HMS-Beagle2
D.borealis,D.ezoana,HMS-Beagle2
D.innubila,D.antonietae,HMS-Beagle2
D.bunnanda,D.gunungcola,HMS-Beagle2
D.elegans,D.fuyamai,HMS-Beagle
D.neotestacea,Z.bogoriensis,HMS-Beagle
Z.africanus,Z.ghesquierei,HMS-Beagle
D.malerkotliana,D.pseudoananassae,HMS-Beagle
D.santomea,D.melanogaster,HMS-Beagle
D.jambulina,S.pallida,HMS-Beagle
D.borealis,D.novamexicana,HMS-Beagle
D.simulans,D.melanogaster,HMS-Beagle
D.miranda,D.cardini,HMS-Beagle
D.differens,D.silvestris,HMS-Beagle
D.lowei,D.subpulchrella,HMS-Beagle
D.lacicola,S.pallida,HMS-Beagle
D.gunungcola,D.bunnanda,HMS-Beagle
D.rubida,D.pallidifrons,HMS-Beagle
D.maculinotata,D.merina,HMS-Beagle
D.varians,D.oshimai,HMS-Beagle
D.nasuta,D.kohkoa,HMS-Beagle
D.tripunctata,D.falleni,HMS-Beagle
D.paulistorum,D.insularis,HMS-Beagle
D.sturtevanti,D.mojavensis,HMS-Beagle
Z.capensis,Z.taronus,HMS-Beagle
D.buzzatii,D.stalkeri,HMS-Beagle
D.neocordata,D.anceps,HMS-Beagle
D.phalerata,D.kuntzei,HMS-Beagle
D.sordidula,H.histrioides,HMS-Beagle
D.suzukii,D.biarmipes,HMS-Beagle
C.caudatula,D.leonis,HMS-Beagle
D.bunnanda,D.gunungcola,HMS-Beagle
D.triauraria,D.bunnanda,HMS-Beagle
D.putrida,D.tripunctata,HMS-Beagle
D.parabipectinata,D.quadrilineata,HMS-Beagle
D.subpulchrella,D.lowei,HMS-Beagle
D.cardini,D.miranda,HMS-Beagle
D.ananassae,D.quadrilineata,HMS-Beagle
D.quadrilineata,D.parabipectinata,HMS-Beagle
D.melanogaster,D.santomea,HMS-Beagle
D.robusta,D.tripunctata,HMS-Beagle
Z.kolodkinae,Z.tsacasi,HMS-Beagle
Z.inermis,Z.camerounensis,HMS-Beagle
Z.gabonicus,Z.indianus,HMS-Beagle
D.falleni,D.tripunctata,HMS-Beagle
D.ustulata,D.immigrans,HMS-Beagle
D.hamatofila,S.flava,HMS-Beagle
D.rufa,D.pseudoananassae,HMS-Beagle
Z.vittiger,Z.inermis,HMS-Beagle
D.equinoxialis,D.willistoni,HMS-Beagle
D.mimetica,D.suzukii,Idefix
D.yakuba,D.orena,Idefix
D.orena,D.yakuba,Idefix
D.rhopaloa,D.mimetica,Idefix
D.prosaltans,D.parthenogenetica,Idefix
D.bocqueti,D.erecta,Idefix
C.caudatula,D.affinis,Idefix
D.obscura,D.subobscura,Idefix
D.oshimai,D.rufa,Idefix
D.macrospina,S.flava,Idefix
D.falleni,Z.davidi,Idefix
D.erecta,D.bocqueti,Idefix
D.rufa,D.oshimai,Idefix
D.parthenogenetica,D.prosaltans,Idefix
D.formosana,D.immigrans,Idefix
D.jambulina,D.kikkawai,Idefix
D.monieri,D.yakuba,Idefix
D.affinis,C.caudatula,Idefix
D.athabasca,D.azteca,Idefix
D.kohkoa,D.formosana,Idefix
D.mimetica,D.rhopaloa,invader1
